pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
89,pair89_1.jpg,pair89_2.jpg,gt_89.txt,3,0.000000,472073.814616,69373654306.116333,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_89
90,pair90_1.jpg,pair90_2.jpg,gt_90.txt,3,0.000001,70128072563.869370,5603549.269399,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_90
91,pair91_1.jpg,pair91_2.jpg,gt_91.txt,3,0.000000,378740.465155,1391428130.764826,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_91
92,pair92_1.jpg,pair92_2.jpg,gt_92.txt,3,0.000002,93083553380.124008,30410717.490324,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_92
93,pair93_1.jpg,pair93_2.jpg,gt_93.txt,4,0.827490,101067.660509,1323137953708120.250000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_93
94,pair94_1.jpg,pair94_2.jpg,gt_94.txt,4,0.910802,41769.423455,493198439.764354,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_94
95,pair95_1.jpg,pair95_2.jpg,gt_95.txt,4,1.175281,3378.408769,1994784.708283,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_95
96,pair96_1.jpg,pair96_2.jpg,gt_96.txt,3,0.000002,2007714174995.996582,5726484.193845,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_96
97,pair97_1.jpg,pair97_2.jpg,gt_97.txt,3,0.000000,55438956.219544,1449086.228266,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_97
98,pair98_1.jpg,pair98_2.jpg,gt_98.txt,4,0.821561,12964.490047,75611542.594731,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_98
99,pair99_1.jpg,pair99_2.jpg,gt_99.txt,4,0.695421,72989.597799,423660.074129,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_99
100,pair100_1.jpg,pair100_2.jpg,gt_100.txt,4,0.582354,144395.175707,3576392451641816.500000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_100
101,pair101_1.jpg,pair101_2.jpg,gt_101.txt,3,0.000012,101558969906.811157,4219075948020.092285,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_101
102,pair102_1.jpg,pair102_2.jpg,gt_102.txt,4,1.032926,4073.435344,36793153562.502693,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_102
103,pair103_1.jpg,pair103_2.jpg,gt_103.txt,4,0.814589,4176585.844356,153846133876317920.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_103
104,pair104_1.jpg,pair104_2.jpg,gt_104.txt,4,0.934745,42171.902339,1147717682.949706,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_104
105,pair105_1.jpg,pair105_2.jpg,gt_105.txt,4,0.371293,128618.480903,1865109926799618304.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_105
106,pair106_1.jpg,pair106_2.jpg,gt_106.txt,4,0.758518,93321.322712,2072712544257.033691,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_106
107,pair107_1.jpg,pair107_2.jpg,gt_107.txt,3,0.000000,9470573.227724,21762449.555461,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_107
108,pair108_1.jpg,pair108_2.jpg,gt_108.txt,3,0.000000,285534026.878076,26386741.824749,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_108
109,pair109_1.jpg,pair109_2.jpg,gt_109.txt,4,0.980343,13794.353306,1565013214.278270,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_109
110,pair110_1.jpg,pair110_2.jpg,gt_110.txt,4,0.962547,83714.576931,56831149.808752,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_110
111,pair111_1.jpg,pair111_2.jpg,gt_111.txt,4,0.332233,372848.702369,1976327545.435497,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_111
112,pair112_1.jpg,pair112_2.jpg,gt_112.txt,4,1.023971,27232.067475,221247784.830067,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_112
113,pair113_1.jpg,pair113_2.jpg,gt_113.txt,4,1.065837,97750.087993,29775858364.193638,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_113
114,pair114_1.jpg,pair114_2.jpg,gt_114.txt,4,1.079290,12302.878900,8581525238598.481445,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_114
115,pair115_1.jpg,pair115_2.jpg,gt_115.txt,4,0.350325,5821.027479,15658358.255700,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_115
116,pair116_1.jpg,pair116_2.jpg,gt_116.txt,4,0.725239,13817.314960,1831903.682285,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_116
117,pair117_1.jpg,pair117_2.jpg,gt_117.txt,4,0.757632,171725.302757,69371323198.451828,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_117
